timestamp,node_id,day_ahead_price,intraday_price
2020-05-01 00:00:00,AP-HUB,2.4893,2.4865
2020-05-01 00:00:00,AP-01,2.3773,2.4077
2020-05-01 00:00:00,AP-02,2.4096,2.4049
2020-05-01 00:00:00,AP-03,2.4959,2.5112
2020-05-01 00:00:00,AP-04,2.5049,2.5158
2020-05-01 00:00:00,AP-05,2.555,2.5457
2020-05-01 01:00:00,AP-HUB,2.9296,2.8913
2020-05-01 01:00:00,AP-01,2.7701,2.7588
2020-05-01 01:00:00,AP-02,2.8343,2.8406
2020-05-01 01:00:00,AP-03,2.8864,2.8582
2020-05-01 01:00:00,AP-04,2.9839,2.9794
2020-05-01 01:00:00,AP-05,3.0059,2.9774
2020-05-01 02:00:00,AP-HUB,2.827,2.8293
2020-05-01 02:00:00,AP-01,2.679,2.6865
2020-05-01 02:00:00,AP-02,2.74,2.7342
2020-05-01 02:00:00,AP-03,2.79,2.827
2020-05-01 02:00:00,AP-04,2.8518,2.8306
2020-05-01 02:00:00,AP-05,2.9185,2.8941
2020-05-01 03:00:00,AP-HUB,3.0752,3.036
2020-05-01 03:00:00,AP-01,2.9236,2.9275
2020-05-01 03:00:00,AP-02,3.0149,3.0184
2020-05-01 03:00:00,AP-03,3.0479,3.0418
2020-05-01 03:00:00,AP-04,3.0706,3.0562
2020-05-01 03:00:00,AP-05,3.141,3.1621
2020-05-01 04:00:00,AP-HUB,3.4417,3.4064
2020-05-01 04:00:00,AP-01,3.3232,3.3155
2020-05-01 04:00:00,AP-02,3.3531,3.3654
2020-05-01 04:00:00,AP-03,3.4373,3.4559
2020-05-01 04:00:00,AP-04,3.4499,3.4437
2020-05-01 04:00:00,AP-05,3.5233,3.5428
2020-05-01 05:00:00,AP-HUB,3.0699,3.0662
2020-05-01 05:00:00,AP-01,2.9228,2.8989
2020-05-01 05:00:00,AP-02,3.0112,3.0383
2020-05-01 05:00:00,AP-03,3.0435,3.0636
2020-05-01 05:00:00,AP-04,3.1022,3.0893
2020-05-01 05:00:00,AP-05,3.1522,3.1829
2020-05-01 06:00:00,AP-HUB,3.2153,3.2466
2020-05-01 06:00:00,AP-01,3.0379,3.0543
2020-05-01 06:00:00,AP-02,3.142,3.1361
2020-05-01 06:00:00,AP-03,3.1921,3.1524
2020-05-01 06:00:00,AP-04,3.2359,3.243
2020-05-01 06:00:00,AP-05,3.3198,3.3095
